current_url,updated_url
artifact.cre.chain.link,
cre.chain.link,
cre.chain.link/request-access,
cre.chain.link/workflows,
https://01.gateway.zone-a.cre.chain.link,
https://01.gateway.zone-a.cre.chain.link/,
https://cre.chain.link,
https://cre.chain.link/install.ps1,
https://cre.chain.link/install.sh,
https://cre.chain.link/login,
https://cre.chain.link/request-access,
https://cre.chain.link/workflows,
